"Name","Start Year","End Year","Era Label","is_circa","is_active","Score"
"Cylinder seal","-7600","-6000.0","7600–6000","False","False","6"
"Buff ware","-7570","-6200.0","7570–6200","False","False","0"
"Bir Hima Rock Petroglyphs and Inscriptions","-7000","-1000.0","7000–1000","False","False","0"
"Al Thani Collection","-4500","-3500.0","4500–3500","False","False","0"
"Bi (jade)","-3400","-2250.0","3400–2250","False","False","0"
"Dancing Girl (prehistoric sculpture)","-2300","-1750.0","2300–1750","False","False","0"
"Celtic art","-1800","-1700.0","18th century","False","False","0"
"Art of Europe","-1800","","1800s","False","False","3"
"Amarna art","-1351","-1334.0","1351–1334","False","False","13"
"Buddhist influences on print technology","-1300","-1200.0","13th century","False","False","12"
"Chinese furniture","-1000","-900.0","10th century","False","False","6"
"Bharatanatyam","-900","-800.0","9th century","False","False","6"
"Art of Urartu","-800","-700.0","8th century","False","False","0"
"Ancient Greek art","-700","-600.0","7th century","False","False","0"
"Ancient South Arabian art","-700","-600.0","7th century","False","False","6"
"Art of rock relief in ancient Iran","-700","-600.0","7th century","False","False","0"
"Ancient Greek crafts","-600","-500.0","6th century","False","False","0"
"Bead and reel","-600","-500.0","6th century","False","False","0"
"Art of Mesopotamia","-600","-500.0","6th century","False","False","0"
"Behistun Inscription","-522","-486.0","522–486","False","False","0"
"Buddhist architecture","-500","-400.0","5th century","False","False","0"
"Chinese magic mirror","-500","-400.0","5th century","False","False","3"
"Agatharchus","-500","-400.0","5th century","False","False","0"
"Buddhist art","-500","-400.0","5th century","False","False","3"
"Art of ancient Egypt","-400","-300.0","4th century","False","False","0"
"Cerro de los Santos","-400","-300.0","4th century","False","False","0"
"Celtic stone idols","-300","-200.0","3th century","False","False","0"
"Ancient Maya art","-250","-550.0","250–550","False","False","6"
"Baghdad Battery","-224","-650.0","224–650","False","False","3"
"Amaravati art","-200","-100.0","2th century","False","False","13"
"Art of Mathura","-200","-100.0","2th century","False","False","0"
"Ancient Roman and Byzantine domes","0","100.0","1th century","False","False","3"
"Aniconism in Buddhism","0","100.0","1th century","False","False","3"
"Blood Cross","0","8.0","000–8","False","False","0"
"Anarchy Comics","1","3.0","1–3","False","False","0"
"Alexander Vasiliev (historian)","1","2.0","1–2","False","False","0"
"Boston Cyberarts Festival","1","15.0","1–15","False","False","0"
"ART X Lagos","6","9.0","6–9","False","False","0"
"Chumbawamba","7","8.0","7–8","False","False","0"
"Alker","8","10.0","8–10","False","False","0"
"9 Evenings: Theatre and Engineering","13","23.0","13–23","False","False","0"
"Commentary on the Apocalypse","14","1.0","14–1","False","False","3"
"Corky's","24","7.0","24–7","False","False","0"
"Black-and-white Revival architecture","34","36.0","34–36","False","False","12"
"Central Gate","39","55.0","39–55","False","False","0"
"Corn dolly","45","48.0","45–48","False","False","0"
"Celtic calendar","100","200.0","2th century","False","False","0"
"Concrete shell","100","200.0","2th century","False","False","0"
