Name,Start Year,End Year,Era Label,is_circa,is_active,Score
Buff ware,-7570,-6200.0,7570–6200,False,False,0
Celtic art,-1800,-1700.0,18th century,False,False,0
Art of Europe,-1800,,1800s,False,False,3
Amarna art,-1351,-1334.0,1351–1334,False,False,13
Buddhist influences on print technology,-1300,-1200.0,13th century,False,False,12
Chinese furniture,-1000,-900.0,10th century,False,False,6
Art of Urartu,-800,-700.0,8th century,False,False,0
Ancient Greek art,-700,-600.0,7th century,False,False,0
Ancient South Arabian art,-700,-600.0,7th century,False,False,6
Art of rock relief in ancient Iran,-700,-600.0,7th century,False,False,0
Ancient Greek crafts,-600,-500.0,6th century,False,False,0
Bead and reel,-600,-500.0,6th century,False,False,0
Art of Mesopotamia,-600,-500.0,6th century,False,False,0
Buddhist architecture,-500,-400.0,5th century,False,False,0
Buddhist art,-500,-400.0,5th century,False,False,3
Art of ancient Egypt,-400,-300.0,4th century,False,False,0
Ancient Maya art,-250,-550.0,250–550,False,False,6
Amaravati art,-200,-100.0,2th century,False,False,13
Art of Mathura,-200,-100.0,2th century,False,False,0
Ancient Roman and Byzantine domes,0,100.0,1th century,False,False,3
Aniconism in Buddhism,0,100.0,1th century,False,False,3
Black-and-white Revival architecture,34,36.0,34–36,False,False,12
Concrete shell,100,200.0,2th century,False,False,0
Armenian medieval sculpture,278,330.0,278–330,False,False,9
Crucifixion in the arts,300,400.0,4th century,False,False,0
Catholic art,300,400.0,4th century,False,False,0
Christian symbolism,300,400.0,4th century,False,False,0
Byzantine gardens,300,400.0,4th century,False,False,0
Anglo-Saxon glass,400,500.0,5th century,False,False,3
Anglo-Saxon art,400,500.0,5th century,False,False,0
Bandhani,500,600.0,6th century,False,False,3
6th-century Byzantine domes,500,600.0,6th century,False,False,3
Contemporary mosque architecture,600,700.0,7th century,False,False,0
7th-century Byzantine domes,600,700.0,7th century,False,False,3
Archangel Michael in Christian art,700,800.0,8th century,False,False,0
Carolingian Renaissance,700,800.0,8th century,False,False,50
Chinese Islamic architecture,700,800.0,8th century,False,False,3
Chinese influences on Islamic pottery,700,800.0,8th century,False,False,3
Aniconism in Islam,700,800.0,8th century,False,False,0
Banna'i,700,800.0,8th century,False,False,0
Abbasid architecture,762,,c. 762,True,False,0
Carpet page,800,900.0,9th century,False,False,0
Carolingian illumination,800,900.0,9th century,False,False,0
Arabesque,800,900.0,9th century,False,False,3
9th-century Byzantine domes,843,1204.0,843–1204,False,False,3
10th-century Byzantine domes,900,1000.0,10th century,False,False,3
Byzantine art,900,1000.0,10th century,False,False,3
Cave paintings in India,900,1000.0,10th century,False,False,3
Chinese painting,907,1127.0,907–1127,False,False,3
Crusader art,1000,1100.0,11th century,False,False,0
11th-century Byzantine domes,1000,1100.0,11th century,False,False,3
1000s in art,1000,,1000s,False,False,0
1010s in art,1010,,1010s,False,False,0
1020s in art,1020,,1020s,False,False,0
1030s in art,1030,,1030s,False,False,0
1040s in art,1040,,1040s,False,False,0
1050s in art,1050,,1050s,False,False,0
1060s in art,1060,,1060s,False,False,0
1070s in art,1070,,1070s,False,False,0
1080s in art,1080,,1080s,False,False,0
1090s in art,1090,,1090s,False,False,0
Byzantine silk,1100,1200.0,12th century,False,False,0
Byzantine enamel,1100,1200.0,12th century,False,False,0
12th-century Byzantine domes,1100,1200.0,12th century,False,False,3
Art of the Seljuks of Iran,1200,1300.0,13th century,False,False,0
1200s in art,1200,,1200s,False,False,0
Close studding,1200,1300.0,13th century,False,False,0
Bayon,1200,1300.0,13th century,False,False,0
Debased heraldry,1200,1215.0,1200–1215,False,False,0
Burgher arms,1200,1300.0,13th century,False,False,0
1210s in art,1210,,1210s,False,False,0
1220s in art,1220,,1220s,False,False,0
Cibola White Ware,1225,1325.0,1225–1325,False,False,0
1230s in art,1230,,1230s,False,False,0
Arabic miniature,1236,1237.0,1236–1237,False,False,0
1240s in art,1240,,1240s,False,False,0
1250s in art,1250,,1250s,False,False,0
1260s in art,1260,,1260s,False,False,0
1270s in art,1270,,1270s,False,False,0
1280s in art,1280,,1280s,False,False,0
1290s in art,1290,,1290s,False,False,0
Commesso,1300,1400.0,14th century,False,False,0
Bingata,1300,1400.0,14th century,False,False,0
Chiaramontan Gothic architecture,1300,1400.0,14th century,False,False,0
African ivories,1300,1400.0,14th century,False,False,0
Danse Macabre,1300,1400.0,14th century,False,False,3
1300s in art,1300,,1300s,False,False,0
1310s in art,1310,,1310s,False,False,0
1320s in art,1320,,1320s,False,False,0
1330s in art,1330,,1330s,False,False,0
1340s in art,1340,,1340s,False,False,0
1350s in art,1350,,1350s,False,False,0
1360s in art,1360,,1360s,False,False,0
1370s in art,1370,,1370s,False,False,0
1380s in art,1380,,1380s,False,False,0
Cretan school,1380,1450.0,1380–1450,False,False,0
1390s in art,1390,,1390s,False,False,0
1400s in art,1400,1500.0,15th century,False,False,0
1410s in art,1410,,1410s,False,False,0
1420s in art,1420,,1420s,False,False,0
1430s in art,1430,,1430s,False,False,0
1440s in art,1440,,1440s,False,False,0
Assamese manuscript painting,1449,1568.0,1449–1568,False,False,3
1450s in art,1450,,1450s,False,False,0
1460s in art,1460,,1460s,False,False,0
1470s in art,1470,,1470s,False,False,0
1480s in art,1480,,1480s,False,False,0
1490s in art,1490,,1490s,False,False,0
Antwerp school,1500,1600.0,16th century,False,False,13
Antwerp Mannerism,1500,1600.0,16th century,False,False,3
Art of the late 16th century in Milan,1500,1600.0,16th century,False,False,0
Deccan painting,1500,1600.0,16th century,False,False,0
Aláàrìnjó,1500,1600.0,16th century,False,False,0
Chinese ceramics,1500,1600.0,16th century,False,False,3
Aniconism in Christianity,1500,1600.0,16th century,False,False,0
Arabic typography,1500,1600.0,16th century,False,False,0
Art in the Protestant Reformation and Counter-Reformation,1500,1600.0,16th century,False,False,3
Culteranismo,1500,1600.0,16th century,False,False,3
Decorative painting in Hälsingland,1500,1600.0,16th century,False,False,0
Baroque garden,1500,1600.0,16th century,False,False,50
Danube school,1500,1600.0,16th century,False,False,3
Academic art,1500,1600.0,16th century,False,False,13
Cadaver monument,1500,1600.0,16th century,False,False,3
Conceptismo,1500,1600.0,16th century,False,False,3
16th-century Western domes,1505,6.0,1505–6,False,False,3
Canzonetta,1560,,c. 1560,True,False,18
Bahay na bato,1565,1898.0,1565–1898,False,False,0
Baroque painting,1600,1700.0,17th century,False,False,53
Baroque dance,1600,1750.0,1600–1750,False,False,50
Baroque,1600,1700.0,17th century,False,False,62
Basso continuo,1600,1750.0,1600–1750,False,False,0
Canzone,1600,1700.0,17th century,False,False,3
Cape Cod (house),1600,1700.0,17th century,False,False,9
Capiz shell window,1600,1700.0,17th century,False,False,0
Chorale monody,1600,1700.0,17th century,False,False,3
Chinoiserie,1600,1700.0,17th century,False,False,3
Chinoiserie in fashion,1600,1700.0,17th century,False,False,9
Classical Ottoman architecture,1600,1700.0,17th century,False,False,0
Auricular style,1600,1700.0,17th century,False,False,10
Blackletter,1600,1700.0,17th century,False,False,0
Art,1600,1700.0,17th century,False,False,3
Chorale motet,1605,1610.0,1605–1610,False,False,6
Cartilage Baroque,1620,1660.0,1620–1660,False,False,50
Baroque architecture,1625,1675.0,1625–1675,False,False,14
Chanson pour boire,1627,1670.0,1627–1670,False,False,9
Baroque sculpture,1647,1652.0,1647–1652,False,False,50
Beaux-Arts de Paris,1648,,c. 1648,True,False,0
Air à boire,1690,,1690s,False,False,9
18th-century Western domes,1700,1800.0,18th century,False,False,3
Banko ware,1700,1800.0,18th century,False,False,0
Balaramapuram handlooms,1700,1800.0,18th century,False,False,3
Belarusian icon-painting school of the 16th–18th centuries,1700,1800.0,18th century,False,False,3
Cabriole leg,1700,1800.0,18th century,False,False,0
Cameo (carving),1700,1800.0,18th century,False,False,0
Baroque in Poland,1700,1800.0,18th century,False,False,53
Breitkopf Fraktur,1719,1794.0,1719–1794,False,False,0
Baroque Revival architecture,1800,1900.0,19th century,False,False,42
Celtic cross,1800,1900.0,19th century,False,False,0
Costumbrismo,1800,1900.0,19th century,False,False,9
Beaux-Arts architecture,1800,1900.0,19th century,False,False,12
Art for art's sake,1800,1900.0,19th century,False,False,6
Art movement,1800,1900.0,19th century,False,False,19
Architectural terracotta,1800,1900.0,19th century,False,False,0
Art of the Low Countries,1800,1900.0,19th century,False,False,0
African wax prints,1800,1900.0,19th century,False,False,0
Akuaba,1800,,1800s,False,False,3
Bunka shishu,1800,1900.0,19th century,False,False,0
Bundwerk,1800,1900.0,19th century,False,False,0
Aestheticism,1800,1900.0,19th century,False,False,16
Abstract art,1800,1900.0,19th century,False,False,6
American Craftsman,1800,1900.0,19th century,False,False,18
American colonial architecture,1800,1900.0,19th century,False,False,9
Amsterdam Impressionism,1800,1900.0,19th century,False,False,63
American realism,1800,1900.0,19th century,False,False,9
American Foursquare,1800,1900.0,19th century,False,False,6
Angels in art,1800,1900.0,19th century,False,False,0
Brazilian academic art,1800,1900.0,19th century,False,False,0
19th-century domes,1800,1900.0,19th century,False,False,0
Decadence,1800,1900.0,19th century,False,False,3
Art Nouveau,1814,1879.0,1814–1879,False,False,6
Church frescos in Denmark,1825,1913.0,1825–1913,False,False,0
Antebellum architecture,1830,,1830s,False,False,9
Chickee,1835,1842.0,1835–1842,False,False,6
Birch-bark roof,1860,,1860s,False,False,0
Colony houses,1861,,c. 1861,True,False,3
Bengal School of Art,1871,1951.0,1871–1951,False,False,16
Arts and Crafts movement,1880,,1880s,False,False,12
Colonial Revival architecture,1880,1910.0,1880–1910,False,False,21
Box Hill artists' camp,1880,,1880s,False,False,10
Art Nouveau furniture,1890,,1890s,False,False,6
City Beautiful movement,1890,,1890s,False,False,3
Dansaekhwa,1900,2000.0,20th century,False,False,3
"Bauhaus and its Sites in Weimar, Dessau and Bernau",1900,2000.0,20th century,False,False,35
Contemporary art,1900,2000.0,20th century,False,False,3
Arts of Iran,1900,2000.0,20th century,False,False,0
Art Nouveau in Milan,1900,2000.0,20th century,False,False,10
Armory Show,1900,2000.0,20th century,False,False,3
Colourist painting,1900,2000.0,20th century,False,False,13
Bombay Progressive Artists' Group,1900,2000.0,20th century,False,False,3
Antiqua–Fraktur dispute,1900,2000.0,20th century,False,False,0
Counterculture of the 1960s,1900,2000.0,20th century,False,False,0
American modernism,1900,2000.0,20th century,False,False,18
Amsterdamse Joffers,1900,2000.0,20th century,False,False,0
Airplane Bungalow,1900,2000.0,20th century,False,False,6
African sculpture,1900,2000.0,20th century,False,False,0
California Impressionism,1900,2000.0,20th century,False,False,51
Canons of page construction,1900,2000.0,20th century,False,False,0
Celtic Revival,1900,2000.0,20th century,False,False,9
Contemporary Turkish miniature,1900,2000.0,20th century,False,False,0
Chhayavad,1900,2000.0,20th century,False,False,9
Art of Champa,1900,2000.0,20th century,False,False,3
Art manifesto,1900,2000.0,20th century,False,False,6
Caravaggisti,1900,2000.0,20th century,False,False,6
